date,sessionDefaultChannelGroup,activeUsers,sessions
2026-03-26,Direct,535,622
2026-03-26,Organic Search,341,394
2026-03-26,Organic Social,0,1
2026-03-26,Referral,7,13
2026-03-26,Unassigned,46,47
2026-03-27,Direct,548,630
2026-03-27,Organic Search,328,377
2026-03-27,Referral,5,8
2026-03-27,Unassigned,43,45
2026-03-28,Direct,645,782
2026-03-28,Organic Search,490,568
2026-03-28,Organic Social,0,1
2026-03-28,Referral,9,10
2026-03-28,Unassigned,68,72
2026-03-29,Direct,558,668
2026-03-29,Organic Search,476,547
2026-03-29,Referral,6,7
2026-03-29,Unassigned,79,82
2026-03-30,Direct,423,534
2026-03-30,Organic Search,229,273
2026-03-30,Referral,6,13
2026-03-30,Unassigned,32,33
2026-03-31,Direct,424,567
2026-03-31,Organic Search,261,306
2026-03-31,Referral,5,12
2026-03-31,Unassigned,30,32
2026-04-01,Direct,502,615
2026-04-01,Organic Search,329,382
2026-04-01,Referral,2,7
2026-04-01,Unassigned,43,43
2026-04-02,Cross-network,17,17
2026-04-02,Direct,322,360
2026-04-02,Organic Search,143,171
2026-04-02,Referral,1,2
2026-04-02,Unassigned,394,435
